Voting District,County,City,Pop. 2020,White,Black,Native American,Other race,Multiracial
1,Washington,Chatom,1104,0.65,0.28,0.01,0.02,0.04
1,Mobile,Mobile,188720,0.435,0.515,0.002,0.027,0.021
1,Baldwin,Bay Minette,9354,0.583,0.388,0.005,0.013,0.011
1,Monroe,Monroeville,5718,0.367,0.616,0.01,0.007,0
1,Escambia,Brewton,36633,0.623,0.313,0.039,0.003,0.022
2,Conecuh,Evergreen,12067,0.519,0.461,0.006,0,0.014
2,Butler,Greenville,7395,0.401,0.568,0.001,0.007,0.023
2,Covington,Andalusia,8680,0.699,0.277,0.001,0.011,0.012
2,Crenshaw,Luverne,2770,0.551,0.342,0.0531,0.0002,0.0537
2,Montgomery,Montgomery,226486,0.355,0.593,0.003,0.0475,0.0015
2,Bullock,Union Springs,3514,0.0677,0.921,0,0.0113,0
2,Pike,Troy,19112,0.545,0.382,0.00105,0.05175,0.0202
2,Coffee,Enterprise,27947,0.62,0.224,0.019,0.13403,0.00297
2,Geneva,Geneva,4340,0.741,0.185,0,0.0609,0.0131
2,Barbour,Eufaula,12065,0.47,0.458,0.00257,0.05413,0.0153
2,Dale,Ozark,14413,0.598,0.305,0.00444,0.06406,0.0285
2,Henry,Headland,4665,0.684,0.287,0,0.02707,0.00193
2,Houston,Dothan,67894,0.592,0.334,0.00246,0.05184,0.0197
3,Cherokee,Centre,3525,0.862,0.106,0.00108,0.01792,0.013
3,Cleburne,Heflin,3437,0.905,0.0608,0.00116,0.00774,0.0253
3,Randolph,Wedowee,820,0.579,0.362,0,0.0383,0.0207
3,Chambers,Valley,9286,0.559,0.395,0.00215,0.03965,0.0042
3,Lee,Auburn,64054,0.686,0.182,0.00133,0.11927,0.0114
3,Russell,Phenix City,36516,0.445,0.437,0.00189,0.08701,0.0291
3,Calhoun,Anniston,21688,0.414,0.514,0.00143,0.03677,0.0338
3,Talladega,Talladega,15522,0.445,0.477,0.0029,0.0597,0.0154
3,Clay,Lineville,2332,0.528,0.425,0,0.04271,0.00429
3,Tallapoosa,Alexander City,14508,0.613,0.319,0.00345,0.05545,0.0091
3,Macon,Tuskegee,8486,0.0165,0.962,0.000943,0.033517,0.00354
3,Coosa,Goodwater,1261,0.207,0.793,0,0,0
4,Franklin,Russellville,9781,0.518,0.0937,0.0326,0.350358,0.005342
4,Marion,Hamilton,6682,0.892,0.056,0.00165,0.02445,0.0259
4,Lamar,Sulligent,1917,0.818,0.157,0,0,0.025
4,Winston,Halyeville,4159,0.899,0.00986,0,0.06834,0.0228
4,Walker,Jasper,13649,0.767,0.146,0.00169,0.06261,0.0227
4,Fayette,Fayette,4364,0.674,0.254,0,0.0424,0.0296
4,Cullman,Cullman,15729,0.888,0.0113,0.00922,0.08728,0.0042
4,Marshall,Albertville,21541,0.66,0.0368,0.000325,0.293865,0.00901
4,Etowah,Gadsden,35486,0.543,0.355,0.00341,0.08269,0.0159
4,DeKalb,Fort Payne,14115,0.706,0.0337,0.00184,0.23186,0.0266
3,St. Clair,Steele,1149,0.844,0,0.0409,0.1151,0
4,Tuscaloosa,Tuscaloosa,99390,0.491,0.439,0.00165,0.05882,0.00953
5,Lauderdale,Florence,40309,0.734,0.197,0.00308,0.06483,0.00109
4,Colbert,Muscle Shoals,14103,0.816,0.115,0.00567,0.04653,0.0168
5,Limestone,Athens,25922,0.712,0.167,0.00633,0.08847,0.0262
5,Madison,Huntsville,196219,0.577,0.304,0.00356,0.09084,0.0246
5,Jackson,Scottsboro,14526,0.884,0.0593,0.00324,0.03856,0.0149
4,Lawrence,Moulton,3285,0.819,0.136,0.0128,0.003,0.0292
5,Morgan,Decatur,54478,0.608,0.224,0.00204,0.13976,0.0262
6,Jefferson,Gardendale,14016,0.853,0.0973,0.00128,0.04378,0.00464
6,Shelby,Alabaster,33176,0.709,0.145,0.00383,0.12157,0.0206
6,Bibb,Brent,4803,0.582,0.381,0.00187,0.02743,0.0077
6,Chilton,Clanton,8700,0.685,0.212,0,0.0835,0.0195
6,Coosa,Weogufka,299,0.769,0.0502,0,0.1808,0
6,Blount,Oneonta,6568,0.804,0.0688,0,0.1147,0.0125
7,Pickens,Aliceville,2362,0.196,0.801,0,0.00046,0.00254
7,Sumter,Livingston,3356,0.341,0.578,0,0.081,0
7,Choctaw,Butler,2419,0.649,0.323,0.00124,0.02056,0.0062
7,Greene,Eutaw,2676,0.267,0.728,0,0.005,0
7,Hale,Greensboro,3149,0.225,0.765,0,0.01,0
7,Marengo,Demopolis,6807,0.445,0.521,0.00162,0.02357,0.00881
7,Clarke,Coffeeville,516,0.508,0.349,0,0,0.143
7,Perry,Marion,3275,0.442,0.532,0.000916,0.025084,0
7,Dallas,Selma,18276,0.154,0.818,0.00159,0.024,0.00241
7,Wilcox,Camden,2177,0.39,0.603,0,0.0047,0.0023
2,Elmore,Millbrook,15645,0.675,0.258,0,0.0526,0.0144
2,Autauga,Prattville,35925,0.729,0.187,0.00289,0.05591,0.0252
7,Lowndes,Fort Deposit,1835,0.154,0.846,0,0,0
